,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
89,89,0.09880745600003138,1397.2710839816887,10,0.1,4096
90,90,0.09987246899981983,1397.2710839816887,10,0.1,4096
91,91,0.1009163439994154,1397.2710839816887,10,0.1,4096
92,92,0.10197301599964703,1397.2710839816887,10,0.1,4096
93,93,0.10309476899965375,1397.2710839816887,10,0.1,4096
94,94,0.10415839599954779,1397.2710839816887,10,0.1,4096
95,95,0.10521764699933556,1397.2710839816887,10,0.1,4096
96,96,0.10626027099988278,1397.2710839816887,10,0.1,4096
97,97,0.10737687799974083,1397.2710839816887,10,0.1,4096
98,98,0.10843672000009974,1397.2710839816887,10,0.1,4096
99,99,0.10949572699973942,1397.2710839816887,10,0.1,4096
100,100,0.11054238699944108,1397.2710839816887,10,0.1,4096
101,101,0.11165988899938384,1397.2710839816887,10,0.1,4096
