,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
92,92,0.09063790200161748,465.2496439003712,10,0.1,4096
93,93,0.09154527300051996,465.2496439003712,10,0.1,4096
94,94,0.09252791100152535,465.2496439003712,10,0.1,4096
95,95,0.09345702700011316,465.2496439003712,10,0.1,4096
96,96,0.09438542600037181,465.2496439003712,10,0.1,4096
97,97,0.09530129700215184,465.2496439003712,10,0.1,4096
98,98,0.09625918400342925,465.2496439003712,10,0.1,4096
99,99,0.09718731200337061,465.2496439003712,10,0.1,4096
100,100,0.09812049900210695,465.2496439003712,10,0.1,4096
101,101,0.0990391620034643,465.2496439003712,10,0.1,4096
102,102,0.10002048000023933,465.2496439003712,10,0.1,4096
103,103,0.10089299000173924,465.2496439003712,10,0.1,4096
104,104,0.10182966800130089,465.2496439003712,10,0.1,4096
