,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
38,4096.0,465.2496439003712,23.52062769100303,"[4, 2, 3, 0, 1]",10,4096,6
39,0.0,465.2496439003712,23.82153807800205,"[0, 1, 4, 2, 3]",10,4096,7
40,2.0,465.2496439003712,23.82475521500237,"[0, 1, 4, 2, 3]",10,4096,7
41,4096.0,465.2496439003712,30.181214128002466,"[0, 1, 4, 2, 3]",10,4096,7
42,0.0,334.23808844161886,30.50344244900043,"[4, 3, 0, 2, 1]",10,4096,8
43,2.0,373.0570281027715,30.507471160999557,"[4, 1, 0, 2, 3]",10,4096,8
44,4096.0,465.2496439003712,37.675076170002285,"[0, 1, 4, 2, 3]",10,4096,8
45,0.0,411.4391544791564,38.014090767002926,"[3, 2, 1, 4, 0]",10,4096,9
46,2.0,411.4391544791564,38.01811587500197,"[3, 2, 1, 4, 0]",10,4096,9
47,4096.0,465.2496439003712,46.04207930600023,"[0, 3, 2, 4, 1]",10,4096,9
48,0.0,411.4391544791564,46.41247861300144,"[3, 2, 1, 4, 0]",10,4096,10
49,2.0,465.2496439003712,46.41696732300261,"[3, 2, 4, 1, 0]",10,4096,10
50,4096.0,465.2496439003712,55.21041514300305,"[3, 2, 4, 1, 0]",10,4096,10
51,0.0,465.24964390037115,0.00014589700003853068,"[4, 1, 0, 3, 2]",20,4096,0
52,2.0,465.24964390037115,0.00040223800169769675,"[4, 1, 0, 3, 2]",20,4096,0
53,4096.0,465.24964390037115,1.0210064689999854,"[4, 1, 0, 3, 2]",20,4096,0
54,0.0,446.40540904040654,1.4308497359998,"[1, 3, 2, 4, 0]",20,4096,1
55,2.0,446.40540904040654,1.4315106610010844,"[1, 3, 2, 4, 0]",20,4096,1
56,4096.0,465.2496439003712,3.26266087300246,"[1, 4, 2, 3, 0]",20,4096,1
57,0.0,355.36031741649447,3.6948986340030388,"[4, 2, 1, 0, 3]",20,4096,2
58,2.0,465.2496439003712,3.6960191739999573,"[4, 2, 3, 0, 1]",20,4096,2
59,4096.0,465.2496439003712,6.337427818001743,"[4, 2, 3, 0, 1]",20,4096,2
