,Iteration,Time,Fitness,Temperature,max_iters
176,176,0.012014108999210293,49.0,1,4096
177,177,0.01206813999942824,49.0,1,4096
178,178,0.012121911999201984,49.0,1,4096
179,179,0.012175732999821776,49.0,1,4096
180,180,0.012229778999426344,49.0,1,4096
181,181,0.012284127999919292,49.0,1,4096
182,182,0.01233793999927002,49.0,1,4096
183,183,0.012392093000016757,49.0,1,4096
184,184,0.012446122999790532,49.0,1,4096
185,185,0.0125006049993317,49.0,1,4096
186,186,0.01255569499971898,49.0,1,4096
187,187,0.01261051699930249,49.0,1,4096
188,188,0.012664837999182055,49.0,1,4096
189,189,0.012719731999823125,49.0,1,4096
190,190,0.012774230999639258,49.0,1,4096
191,191,0.012828558999899542,49.0,1,4096
192,192,0.012882856999567593,49.0,1,4096
193,193,0.012937273999341414,49.0,1,4096
194,194,0.012992567999390303,49.0,1,4096
195,195,0.013047603999439161,49.0,1,4096
196,196,0.013102815999445738,49.0,1,4096
197,197,0.013157246999980998,49.0,1,4096
198,198,0.013212081999881775,49.0,1,4096
199,199,0.013268211999275081,49.0,1,4096
200,200,0.01332400699993741,49.0,1,4096
201,201,0.013379767999140313,49.0,1,4096
202,202,0.013437418999274087,49.0,1,4096
203,203,0.013493237999682606,49.0,1,4096
204,204,0.013549137999689265,49.0,1,4096
205,205,0.01360464299978048,49.0,1,4096
206,206,0.013660093999533274,49.0,1,4096
207,207,0.013715647999561043,49.0,1,4096
208,208,0.013771272999292705,49.0,1,4096
209,209,0.013827501999912784,49.0,1,4096
210,210,0.013883271999475255,49.0,1,4096
211,211,0.013939302999460779,49.0,1,4096
212,212,0.014040934999684396,49.0,1,4096
213,213,0.01413764899916714,49.0,1,4096
214,214,0.014203435999661451,49.0,1,4096
215,215,0.014269402999161684,49.0,1,4096
216,216,0.014335455999571423,49.0,1,4096
217,217,0.014401457999156264,49.0,1,4096
218,218,0.014467429999967862,49.0,1,4096
219,219,0.014533606999975746,49.0,1,4096
220,220,0.01459983699987788,49.0,1,4096
221,221,0.014666158999716572,49.0,1,4096
