,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
80,4096.0,18.0,53.44378761800181,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,9
81,0.0,12.0,54.06878040400625,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",20,4096,10
82,2.0,12.0,54.074241597001674,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",20,4096,10
83,4096.0,18.0,64.01352414500434,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,10
84,0.0,1.0,64.63758523400611,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",20,4096,11
85,2.0,4.0,64.64271279900277,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",20,4096,11
86,4096.0,18.0,75.57292280399997,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,11
87,0.0,6.0,76.2082458740042,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,4096,12
88,2.0,6.0,76.21371016700141,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,4096,12
89,4096.0,10.0,88.07352424800047,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,4096,12
90,0.0,2.0,88.74372657700587,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",20,4096,13
91,2.0,2.0,88.74970482999925,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",20,4096,13
92,4096.0,18.0,101.68965409800148,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,13
93,0.0,1.0,102.3810467450021,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",20,4096,14
94,2.0,2.0,102.38938022799994,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",20,4096,14
95,4096.0,18.0,116.63181097000052,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,14
96,0.0,1.0,117.38262198000302,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",20,4096,15
97,2.0,1.0,117.39029629099969,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",20,4096,15
98,4096.0,10.0,132.49075672800245,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",20,4096,15
99,0.0,3.0,133.22328685200046,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",20,4096,16
100,2.0,3.0,133.23069908300386,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",20,4096,16
101,4096.0,10.0,149.4266465740002,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,16
102,0.0,1.0,150.17709173700132,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",20,4096,17
103,2.0,6.0,150.1858378160032,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",20,4096,17
104,4096.0,10.0,167.40458842900262,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,17
105,0.0,0.0,168.17917372599914,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",20,4096,18
106,2.0,0.0,168.18776317599986,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",20,4096,18
107,4096.0,18.0,186.5041103600015,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,18
108,0.0,1.0,187.29710634700314,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",20,4096,19
109,2.0,1.0,187.3068198020046,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",20,4096,19
110,4096.0,10.0,206.78768205500091,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",20,4096,19
111,0.0,4.0,207.61367343200254,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",20,4096,20
112,2.0,4.0,207.62272998800472,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",20,4096,20
113,4096.0,10.0,228.9581267350004,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,4096,20
